Mood Rating,ENM (1),SWNM (2),SNM (3),Neutral (4),SPM (5),SWPM (6),EPM (7),Words Recalled,Words Correct,Gender,Male (1),Female (2),Age,18-24 (1),25-34 (2),35-44 (3),45-54 (4),55-64 (5),65-74 (6),75+ (7),MOB,,Music,Yes (1),No (2),Condition
4,,,,4,,,,chair  lamp  table   candle   tank   free          ,5,2,,2,4,,,,4,,,,12,December,1,1,,Pos
5,,,,,5,,,tank  office  chair  ,3,2,,2,5,,,,,5,,,7,July,2,,2,None
2,,2,,,,,,Chair wood door eye ,4,2,,2,2,,2,,,,,,3,March,1,1,,Pos
5,,,,,5,,,chair  lamp  screen  candle  riders  key  bottom  ,6,2,,2,3,,,3,,,,,8,August,1,1,,Neg
6,,,,,,6,,chair screen frame  oops guess did not pay attention,3,2,,2,6,,,,,,6,,11,November,1,1,,Neg
7,,,,,,,7,"free, wood, chair,eye",4,2,,2,3,,,3,,,,,5,May,1,1,,Neg
7,,,,,,,7,"Eye, chair, frame, legs, lamp office ink, window, table, ",7,2,,2,5,,,,,5,,,10,October,2,,2,None
6,,,,,,6,,None,0,2,,2,4,,,,4,,,,4,April,2,,2,None
6,,,,,,6,,office  look  desk  ,1,2,,2,3,,,3,,,,,3,March,1,1,,Pos
,,,,,,,,,,,,,,,,,,,,,,,,,,
