RespondentID,CollectorID,StartDate,EndDate,IP Address,Email Address,First Name,LastName,Custom Data,"After reading the above, do you agree to proceed.","<span style=""text-decoration: underline;""><strong>Please click on the blue link (not the circle)</strong></span> that corresponds to the month in which you were born.  You will then be redirected to YouTube where you will view a short video.  <span style=""text-decoration: underline;"">When done please close the YouTube window to return to this survey and finish answering the remaining questions by clicking ""next""</span>.",,,How would you rate your overall emotional state at this time?,,,,,,,Please complete the following mathematical computations as quickly as you can.,,,,,"Please recall as many words as you can from the list of words you viewed on YouTube and type them in the comment box below.  Please separate your responses by hitting the enter key. Type ""None"" if you cannot remember any words or ""What Video"" if for any reason you were not redirected to YouTube.",Are you male or female?,,What is your age?,,,,,,,In what month were you born?,,,,,,,,,,,,Did you hear music playing?,
4692614323,84131241,4/29/2016 6:34,4/29/2016 6:49,,,,,,1,,,,,,,4,,,,14,25,36,4,63,road  door  frame  tool  lamp   chair  candle  office  wood  eye  leg  ,,2,,2,,,,,,,,,,,,7,,,,,,,2
4692545901,84131241,4/29/2016 5:34,4/29/2016 5:39,,,,,,1,,,,,,,,,6,,14,25,36,2,63,table lamp tank   bottom door light,,2,,,3,,,,,,2,,,,,,,,,,,1,
4692388619,84131241,4/29/2016 3:12,4/29/2016 3:19,,,,,,1,,,,,,,4,,,,14,25,36,4,63,bottom  door  office  big  wood  leg  last,,2,,,3,,,,,,,,,,,,,,10,,,,2
4691696096,84131241,4/28/2016 20:24,4/28/2016 20:29,,,,,,1,,,,,,,4,,,,14,25,36,4,63,none,,2,,,3,,,,,,,,,,,7,,,,,,,2
4691613431,84131241,4/28/2016 19:54,4/28/2016 19:59,,,,,,1,,,,,,,,,,7,14,25,36,4,63,veil  eye  legs  ,,2,,,,4,,,,,,,4,,,,,,,,,,2
4690577108,84131241,4/28/2016 14:10,4/28/2016 14:18,,,,,,1,,2,,,,,4,,,,14,25,36,4,63,lamp eye tooth veil tree touch follow,,2,1,,,,,,,,2,,,,,,,,,,,1,
4689777632,84131241,4/28/2016 6:28,4/28/2016 6:30,,,,,,1,,,3,,,,,5,,,14,25,36,4,63,None,1,,1,,,,,,,,,,,,,,,9,,,,1,
4683089978,84131241,4/25/2016 21:18,4/25/2016 21:23,,,,,,1,,,,,,,4,,,,14,25,36,4,13,chair  legs  big  veil  screen  last  free   eye,,2,,,3,,,,,,,,,5,,,,,,,,1,
4683044449,84131241,4/25/2016 20:59,4/25/2016 21:05,,,,,,1,,,,,,,,,6,,14,25,32,4,13 stripes and 50 stars,chair  wood  veil  ,,2,,,,4,,,,,,,,,,,,,,,12,1,
4682928480,84131241,4/25/2016 20:17,4/25/2016 20:25,,,,,,1,,,,,,,,,6,,14,25,36,4,63,glass  touch  lamp  door  will  wood  riders  frame,,2,,,,4,,,,,,,,,,,,9,,,,1,
4679270008,84131241,4/23/2016 15:36,4/23/2016 16:33,,,,,,1,,,,,,,4,,,,14,25,36,4,63,door chair mood tooth wood ,1,,,,,,5,,,,,,4,,,,,,,,,,2
4678779378,84131241,4/23/2016 5:00,4/23/2016 5:09,,,,,,1,,,,,,,,,6,,14,25,36,4,63,chair  tank  tool  oil,,2,,2,,,,,,,,,,,6,,,,,,,1,
4678460871,84131241,4/22/2016 22:44,4/22/2016 22:48,,,,,,1,,,,,,,4,,,,14,25,36,4,63,LEGS  PAIR  CHAIR  FOLLOW  ,1,,,,3,,,,,,,,,,,,,,10,,,,2
4678036210,84131241,4/22/2016 18:59,4/22/2016 19:01,,,,,,1,,,3,,,,,,,7,14,25,36,4,63,Nine,,2,,,,4,,,,,,,,,,,,,,,12,1,
4677890499,84131241,4/22/2016 17:59,4/22/2016 18:07,,,,,,1,,,,,,,,,6,,14,25,36,4,63,"chair, tank, wood, screen, follow, leg",,2,,,,,5,,,,,,,,,,8,,,,,1,
4677781208,84131241,4/22/2016 17:16,4/22/2016 17:21,,,,,,1,,,,,,,,,6,,48,25,36,4,63,"legs, will, follow, road,",,2,,,,,5,,,,,,,,,,,9,,,,1,
4677639756,84131241,4/22/2016 16:22,4/22/2016 16:27,,,,,,1,,,,,,3,,,,,14,25,36,4,63,"chair, lamp, frame, desk, bottom, tooth, screen, veil, eye, legs",,2,,,,,5,,,,,,,,,7,,,,,,,2
4677619824,84131241,4/22/2016 16:15,4/22/2016 16:16,,,,,,1,,,,,,,,5,,,14,25,36,4,63,none,1,,,,3,,,,,,,,,,6,,,,,,,1,
4677309714,84131241,4/22/2016 14:28,4/22/2016 14:35,,,,,,1,,,,,,,4,,,,14,25,36,4,63,wood   veil  tooth  ,1,,,,,4,,,,,,3,,,,,,,,,,1,
4676386430,84131241,4/22/2016 4:14,4/22/2016 4:20,,,,,,1,,,3,,,,4,,,,14,25,36,4,63,ice  road  office  chair  wall  will  veil,,2,,2,,,,,,,,,,,6,,,,,,,1,
4676153818,84131241,4/22/2016 0:57,4/22/2016 1:02,,,,,,1,,,,,,,,,,7,14,25,36,4,63,Chair  INK  TABLE  BEACH  ,,2,,,3,,,,,,,,,,,,,9,,,,1,
4675605657,84131241,4/21/2016 19:57,4/21/2016 20:05,,,,,,1,,,,,,,,,6,,14,24,36,4,63,chair  leg  office  eye  touch  lamp  candle  wood  free  big,,2,,,,4,,,,,,,,,,,8,,,,,1,
4674870825,84131241,4/21/2016 15:53,4/21/2016 15:58,,,,,,1,,,,,2,,,,,,14,25,36,4,63,chair lamp table tank screen candle big riders office ink follow thread door road pick legs will veil frame bottom,,2,,,,4,,,,,,,,5,,,,,,,,1,
4673723613,84131241,4/21/2016 6:21,4/21/2016 6:30,,,,,,1,,,,,,,,,,7,14,25,36,4,63,chair  lamp  door  table  thread,,2,,,,,5,,,,,,,,6,,,,,,,1,
4673062559,84131241,4/20/2016 22:12,4/20/2016 22:21,,,,,,1,,,,,,,,5,,,14,25,36,4,63,wood  touch  road  legs  tooth  ,1,,,,,,5,,,,,,,,6,,,,,,,1,
4672959997,84131241,4/20/2016 21:24,4/20/2016 21:47,,,,,,1,1,,,,,,,,,7,14,25,36,4,63,good  bad   positive  survey  monkey  easy,,2,,,,,5,,,,,,4,,,,,,,,,,2
4672797093,84131241,4/20/2016 20:22,4/20/2016 20:28,,,,,,1,,,,,,,,,6,,14,25,36,4,63,Chair  Pick  Wood  Will  Walk,1,,,2,,,,,,,,,,,6,,,,,,,1,
4672640742,84131241,4/20/2016 19:28,4/20/2016 19:34,,,,,,1,,,,,,,4,,,,14,25,36,4,63,chair  door  lamp  follow  ,,2,1,,,,,,,,2,,,,,,,,,,,1,
4672598681,84131241,4/20/2016 19:13,4/20/2016 19:23,,,,,,1,,,,,,,4,,,,14,25,36,4,63,eye  chair  ,,2,,,,,,6,,,,,,,,7,,,,,,,2
4671683512,84131241,4/20/2016 14:36,4/20/2016 14:41,,,,,,1,,,,,,,,,6,,14,25,36,4,63,legs chair bottom door ,1,,,,,4,,,,,2,,,,,,,,,,,1,
4671476008,84131241,4/20/2016 13:31,4/20/2016 13:36,,,,,,1,1,,,1,,,,,,,14,25,36,4,63,"Bang, swim",,2,1,,,,,,,,,,,,,,,,10,,,,2
4670853914,84131241,4/20/2016 7:52,4/20/2016 8:02,,,,,,1,,,3,,,,,,,7,14,25,36,5,63,Eye  Tank  Thread  Free  Tooth  Office  Riders  Eye  Chair  Wood,,2,,,3,,,,,,,,,5,,,,,,,,1,
4670748693,84131241,4/20/2016 6:29,4/20/2016 6:34,,,,,,1,,,,,,,,,,7,14,25,36,4,63,wood bottom clear memory ,1,,,,,4,,,,,2,,,,,,,,,,,1,
4670556065,84131241,4/20/2016 3:38,4/20/2016 3:46,,,,,,1,,,,,,,,5,,,14,4,36,4,63,"tank,",,2,,,3,,,,,,,,,,,,,9,,,,1,
4670531180,84131241,4/20/2016 3:19,4/20/2016 3:28,,,,,,1,,,,,,,4,,,,14,25,36,4,63,chair  lamp  table   candle   tank   free          ,,2,,,,4,,,,,,,,,,,,,,,12,1,
4670381461,84131241,4/20/2016 1:44,4/20/2016 1:49,,,,,,1,,,,,,,,5,,,13,25,36,4,63,tank  office  chair  ,,2,,,,,5,,,,,,,,,7,,,,,,,2
4670316344,84131241,4/20/2016 1:08,4/20/2016 1:16,,,,,,1,,,3,,2,,,,,,14,25,36,4,63,Chair wood door eye ,,2,,2,,,,,,,,3,,,,,,,,,,1,
4670235464,84131241,4/20/2016 0:20,4/20/2016 0:24,,,,,,1,,,,,,,,5,,,14,25,36,4,63,chair  lamp  screen  candle  riders  key  bottom  ,,2,,,3,,,,,,,,,,,,8,,,,,1,
4669942420,84131241,4/19/2016 22:03,4/19/2016 22:10,,,,,,1,,,,,,,,,6,,14,25,36,5,63,chair screen frame  oops guess did not pay attention,,2,,,,,,6,,,,,,,,,,,,11,,1,
4669873450,84131241,4/19/2016 21:38,4/19/2016 21:43,,,,,,1,,2,,,,,,,,7,14,25,36,4,63,"free, wood, chair,eye",,2,,,3,,,,,,,,,5,,,,,,,,1,
4669622597,84131241,4/19/2016 20:08,4/19/2016 20:17,,,,,,1,,,,,,,,,,7,14,25,36,4,63,"Eye, chair, frame, legs, lamp office ink, window, table, ",,2,,,,,5,,,,,,,,,,,,10,,,,2
4669571053,84131241,4/19/2016 19:53,4/19/2016 19:58,,,,,,1,1,,,,,,,,6,,14,26,36,4,63,None,,2,,,,4,,,,,,,4,,,,,,,,,,2
4669557087,84131241,4/19/2016 19:48,4/19/2016 19:53,,,,,,1,,,,,,,,,6,,14,25,36,4,63,office  look  desk  ,,2,,,3,,,,,,,3,,,,,,,,,,1,
